season,mnth,holiday,workingday,weathersit,temp,cnt,temp_category
1,1,0,0,2,0.344167,985,False
1,1,0,0,2,0.363478,801,False
1,1,0,1,1,0.196364,1349,False
1,1,0,1,1,0.2,1562,False
1,1,0,1,1,0.22695700000000002,1600,False
1,1,0,1,1,0.204348,1606,False
1,1,0,1,2,0.196522,1510,False
1,1,0,0,2,0.165,959,False
1,1,0,0,1,0.13833299999999998,822,False
1,1,0,1,1,0.150833,1321,False
1,1,0,1,2,0.16909100000000002,1263,False
1,1,0,1,1,0.172727,1162,False
1,1,0,1,1,0.165,1406,False
1,1,0,1,1,0.16087,1421,False
1,1,0,0,2,0.23333299999999998,1248,False
1,1,0,0,1,0.231667,1204,False
1,1,1,0,2,0.175833,1000,False
1,1,0,1,2,0.216667,683,False
1,1,0,1,2,0.292174,1650,False
1,1,0,1,2,0.261667,1927,False
1,1,0,1,1,0.1775,1543,False
1,1,0,0,1,0.0591304,981,False
1,1,0,0,1,0.0965217,986,False
1,1,0,1,1,0.0973913,1416,False
1,1,0,1,2,0.223478,1985,False
1,1,0,1,3,0.2175,506,False
1,1,0,1,1,0.195,431,False
1,1,0,1,2,0.203478,1167,False
1,1,0,0,1,0.196522,1098,False
1,1,0,0,1,0.216522,1096,False
1,1,0,1,2,0.180833,1501,False
1,2,0,1,2,0.192174,1360,False
1,2,0,1,2,0.26,1526,False
1,2,0,1,1,0.18695699999999998,1550,False
1,2,0,1,2,0.211304,1708,False
1,2,0,0,2,0.23333299999999998,1005,False
1,2,0,0,1,0.285833,1623,False
1,2,0,1,1,0.271667,1712,False
1,2,0,1,1,0.220833,1530,False
1,2,0,1,2,0.134783,1605,False
1,2,0,1,1,0.144348,1538,False
1,2,0,1,1,0.189091,1746,False
1,2,0,0,1,0.2225,1472,False
1,2,0,0,1,0.31652199999999997,1589,False
1,2,0,1,1,0.415,1913,False
1,2,0,1,1,0.26608699999999996,1815,False
1,2,0,1,1,0.318261,2115,False
1,2,0,1,1,0.43583299999999997,2475,False
1,2,0,1,1,0.521667,2927,True
1,2,0,0,1,0.399167,1635,False
1,2,0,0,1,0.285217,1812,False
1,2,1,0,2,0.303333,1107,False
1,2,0,1,1,0.182222,1450,False
1,2,0,1,1,0.221739,1917,False
1,2,0,1,2,0.295652,1807,False
1,2,0,1,2,0.364348,1461,False
1,2,0,0,1,0.2825,1969,False
1,2,0,0,1,0.343478,2402,False
1,2,0,1,2,0.407273,1446,False
1,3,0,1,1,0.266667,1851,False
1,3,0,1,1,0.335,2134,False
1,3,0,1,1,0.19833299999999998,1685,False
1,3,0,1,2,0.261667,1944,False
1,3,0,0,2,0.384167,2077,False
1,3,0,0,2,0.37652199999999997,605,False
1,3,0,1,1,0.261739,1872,False
1,3,0,1,1,0.2925,2133,False
1,3,0,1,2,0.295833,1891,False
1,3,0,1,3,0.38909099999999996,623,False
1,3,0,1,2,0.31652199999999997,1977,False
1,3,0,0,1,0.329167,2132,False
1,3,0,0,1,0.384348,2417,False
1,3,0,1,1,0.32521700000000003,2046,False
1,3,0,1,2,0.317391,2056,False
1,3,0,1,2,0.365217,2192,False
1,3,0,1,1,0.415,2744,False
1,3,0,1,1,0.54,3239,True
1,3,0,0,1,0.4725,3117,False
1,3,0,0,1,0.3325,2471,False
2,3,0,1,2,0.430435,2077,False
2,3,0,1,1,0.44166700000000003,2703,False
2,3,0,1,2,0.346957,2121,False
2,3,0,1,2,0.285,1865,False
2,3,0,1,1,0.264167,2210,False
2,3,0,0,1,0.265833,2496,False
2,3,0,0,2,0.25304299999999996,1693,False
2,3,0,1,1,0.264348,2028,False
2,3,0,1,1,0.3025,2425,False
2,3,0,1,2,0.3,1536,False
2,3,0,1,3,0.268333,1685,False
2,4,0,1,2,0.3,2227,False
2,4,0,0,2,0.315,2252,False
2,4,0,0,1,0.378333,3249,False
2,4,0,1,1,0.573333,3115,True
2,4,0,1,2,0.414167,1795,False
2,4,0,1,1,0.390833,2808,False
2,4,0,1,1,0.4375,3141,False
2,4,0,1,2,0.335833,1471,False
2,4,0,0,2,0.3425,2455,False
2,4,0,0,2,0.426667,2895,False
